Items,Responses,Household Number,Age,Gender,Highest level of education,Still in school?,Can read / write?,Domain
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Big problem,144,40,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Big problem,152,42,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Big problem,143,32,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Problem,149,53,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Problem,150,22,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Small problem,115,22,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Small problem,122,48,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Small problem,124,37,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Small problem,123,50,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Small problem,121,70,Female,Lycée (ambaratonga fahatelo),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Small problem,116,23,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Small problem,117,56,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Problem,173,22,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Small problem,175,26,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Small problem,125,27,Female,University,No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Problem,231,49,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Problem,233,20,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Problem,236,32,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Problem,240,27,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Problem,238,27,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Problem,239,60,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Problem,241,67,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Small problem,242,52,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Small problem,243,32,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Small problem,153,54,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Problem,154,35,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Big problem,155,27,Female,Lycée (ambaratonga fahatelo),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Big problem,146,55,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Problem,97,34,Female,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Small problem,156,23,Male,C.E.G (ambaratonga faharoa),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Big problem,157,63,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Big problem,100,31,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Problem,145,35,Male,E.P.P (ambaratonga voalohany),No,Yes,expectations
a lack of communication between project staff members and other groups of people working on the boarder topic of alternative livelihoods.,Big problem,160,45,Female,E.P.P (ambaratonga voalohany),No,Yes,expectations
